               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7903,              1.0643,               2.035,             0.97218,             0.96344,             0.98329,             0.62999,                   0,                   0,                   0,            0.070095,           0.0033228,           0.0033228
                   1,              1.6131,             0.92534,               1.873,             0.83018,               0.807,             0.87443,             0.58841,                   0,                   0,                   0,            0.039436,           0.0059971,           0.0059971
                   2,              1.5694,             0.88929,              1.7991,             0.98416,             0.95758,             0.98285,             0.67033,                   0,                   0,                   0,           0.0081173,           0.0080115,           0.0080115
                   3,              1.5304,              0.8503,               1.754,             0.98105,             0.96501,             0.99015,             0.70759,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,              1.4983,             0.81265,              1.7148,             0.72467,             0.61506,             0.69525,             0.42515,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,              1.4537,             0.77122,              1.6869,             0.98721,             0.98236,             0.99383,             0.71895,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,              1.4007,             0.71782,              1.6396,              0.9901,             0.95497,             0.98044,             0.69799,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,               1.361,             0.68775,              1.6196,             0.94378,             0.89608,             0.94945,              0.6791,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,              1.3436,             0.66625,              1.6049,             0.97132,             0.99258,             0.98959,             0.72677,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,              1.3157,             0.63499,              1.5878,             0.98411,             0.98522,             0.98898,             0.72347,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
