               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8389,              1.0297,              1.7223,             0.86804,             0.79696,             0.87982,             0.51923,                   0,                   0,                   0,            0.070063,           0.0033263,           0.0033263
                   1,              1.8415,               1.009,              1.6673,             0.98476,             0.95442,             0.98079,             0.60384,                   0,                   0,                   0,            0.038745,            0.005341,            0.005341
                   2,              1.8363,              1.0093,              1.6396,             0.97725,             0.94917,             0.98296,             0.61796,                   0,                   0,                   0,           0.0061062,           0.0060357,           0.0060357
                   3,               1.763,             0.93924,              1.6068,             0.98729,             0.96558,             0.98809,             0.62419,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   4,              1.7713,             0.91194,              1.6059,             0.98411,             0.96409,             0.98777,             0.63175,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
