               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.2288,              7.4198,              5.2877,            0.057299,            0.020718,             0.01373,           0.0030458,                   0,                   0,                   0,            0.070042,           0.0033286,           0.0033286
                   1,              3.6098,              2.9501,              3.7489,             0.75937,              0.7942,             0.81564,             0.31686,                   0,                   0,                   0,            0.038723,           0.0053429,           0.0053429
                   2,              2.3126,               1.608,              2.3246,              0.9784,             0.93824,             0.97316,             0.56067,                   0,                   0,                   0,           0.0060842,           0.0060372,           0.0060372
                   3,              1.9754,              1.2544,              1.8954,             0.98591,             0.96629,              0.9838,             0.60318,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   4,              1.9273,              1.1319,              1.7651,             0.96157,             0.93309,             0.96917,             0.58155,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
